date,co,no2,o3,pm10,pm25,so2
2016-05-20,263.2,27.0,45.1,54.2,28.55,3.44
2016-05-21,491.5,28.0,27.3,71.2,28.85,6.99
2016-05-22,447.0,32.0,26.35,88.4,34.5,5.35
2016-05-23,277.6,27.9,24.1,63.5,25.65,3.94
2016-05-24,496.0,31.3,26.4,71.4,32.5,5.06
2016-05-25,512.0,30.9,26.1,67.2,26.6,4.94
2016-05-26,269.0,28.1,36.15,47.1,22.35,3.57
2016-05-27,450.0,24.5,39.0,57.1,26.6,4.35
2016-05-28,422.0,27.7,33.6,37.9,23.200000000000003,6.08
2016-05-29,564.0,27.2,36.25,83.5,27.0,5.59
2016-05-30,2910.0,,45.3,,36.5,
2016-05-31,448.0,,42.8,,41.5,
2016-06-01,1320.0,,41.9,,54.4,
2016-06-02,406.0,,52.0,,44.6,
2016-06-03,,,,,52.3,
2016-06-04,,,,,35.6,
2016-06-05,803.0,,50.2,,46.9,
2016-06-06,881.0,,70.4,,44.8,
2016-06-07,1320.0,,47.2,,45.8,
2016-06-08,822.0,,49.9,,43.3,
2016-06-09,737.0,,55.0,,36.2,
2016-06-10,388.0,,58.8,,35.8,
2016-06-11,963.0,,37.8,,38.6,
2016-06-12,325.0,,28.2,,28.0,
2016-06-13,260.0,,34.2,,28.1,
2016-06-14,777.0,,39.2,,30.8,
2016-06-15,311.0,,24.2,,29.6,
2016-06-16,907.0,,34.5,,38.6,
2016-06-17,633.0,,49.0,,53.8,
2016-06-18,496.0,,33.9,,47.0,
2016-06-19,445.0,,24.5,,41.5,
2016-06-20,457.0,,30.2,,33.9,
2016-06-21,1360.0,,33.9,,39.6,
2016-06-22,974.0,,32.7,,24.9,
2016-06-23,799.0,,42.3,,24.4,
2016-06-24,844.0,,39.3,,18.9,
2016-06-25,516.0,,31.2,,20.1,
2016-06-26,526.0,,36.6,,25.5,
2016-06-27,184.0,,36.7,,16.4,
2016-06-28,941.0,,9.03,,35.4,
2016-06-29,296.0,,18.8,,22.6,
2016-06-30,515.0,,24.6,,20.7,
2016-07-01,865.0,,13.9,,32.1,
2016-07-02,317.0,,21.6,,23.4,
2016-07-03,374.0,,21.2,,26.9,
2016-07-04,680.0,,19.4,,23.4,
2016-07-05,799.0,,17.0,,23.4,
2016-07-06,367.0,,19.4,,25.8,
2016-07-07,320.0,,17.1,,33.9,
2016-07-08,342.0,,22.8,,30.4,
2016-07-09,572.0,,14.3,,28.1,
2016-07-10,863.0,,16.3,,22.5,
2016-07-11,607.0,,20.8,,20.0,
2016-07-12,924.0,,24.4,,21.3,
2016-07-13,388.0,,26.6,,21.9,
2016-07-14,803.0,,21.2,,31.5,
2016-07-15,819.0,,26.3,,33.0,
2016-07-16,654.0,,31.2,,37.5,
2016-07-17,528.0,,23.0,,40.1,
2016-07-18,245.0,,23.7,,24.8,
2016-07-19,517.0,,13.8,,26.9,
2016-07-20,816.0,,24.1,,24.3,
2016-07-21,2230.0,,14.7,,19.1,
2016-07-22,269.0,,20.5,,20.7,
2016-07-23,255.0,,20.9,,23.1,
2016-07-24,585.0,,31.6,,27.0,
2016-07-25,612.0,,21.9,,19.7,
2016-07-26,520.0,,19.1,,21.5,
2016-07-27,,,,,11.2,
2016-07-28,10000.0,,29.2,,24.7,
2016-07-29,10000.0,,17.2,,21.5,
2016-07-30,8750.0,,17.9,,18.4,
2016-07-31,8230.0,,20.0,,11.7,
2016-08-01,4440.0,,7.57,,12.7,
2016-08-02,9160.0,,23.2,,12.0,
2016-08-03,3860.0,,9.54,,12.0,
2016-08-04,288.0,,8.85,,20.0,
2016-08-05,1130.0,,20.7,,14.4,
2016-08-06,344.0,,18.5,,17.5,
2016-08-07,254.0,,15.7,,18.2,
2016-08-08,1130.0,,14.8,,24.0,
2016-08-09,449.0,7.48,13.25,44.5,16.15,2.52
2016-08-10,321.0,8.61,15.490000000000002,37.4,16.965,13.5
2016-08-11,278.0,7.94,12.645,29.8,16.075,6.22
2016-08-12,316.5,9.97,18.8,29.1,15.879999999999999,9.6
2016-08-13,574.0,10.9,20.6,23.6,15.925,8.77
2016-08-14,534.5,12.2,22.3,33.9,16.85,8.05
2016-08-15,518.5,12.7,21.1,36.1,14.9,5.87
2016-08-16,451.0,13.5,22.4,38.3,29.049999999999997,8.54
2016-08-17,472.0,13.8,28.7,37.5,21.1,7.42
2016-08-18,1023.5,11.8,24.7,23.8,15.875,6.68
2016-08-19,675.0,13.6,24.7,38.4,22.45,4.38
2016-08-20,697.5,16.0,28.4,48.3,25.4,10.1
2016-08-21,575.0,17.4,28.2,57.9,29.1,19.5
2016-08-22,1118.5,16.9,28.1,78.7,36.25,29.7
2016-08-23,482.0,12.2,26.6,22.8,13.34,6.4
2016-08-24,589.5,16.0,18.3,16.0,14.01,7.66
2016-08-25,891.0,16.4,20.1,25.8,29.099999999999998,13.2
2016-08-26,641.0,15.0,2.49,21.3,39.650000000000006,11.4
2016-08-27,483.0,16.3,36.6,14.5,15.44,5.26
2016-08-28,548.0,,24.1,,20.3,
2016-08-29,423.0,14.8,21.3,18.0,16.95,10.1
2016-08-30,740.5,14.1,6.05,4.0,27.4,9.77
2016-08-31,728.0,15.3,11.2,6.76,20.2,9.18
2016-09-01,572.0,12.6,14.3,16.6,17.15,9.97
2016-09-02,526.5,11.5,15.4,14.7,13.545,10.3
2016-09-03,630.0,11.6,12.0,15.7,13.440000000000001,7.48
2016-09-04,463.0,13.2,,40.3,23.7,8.59
2016-09-05,445.0,14.8,,57.0,27.25,9.15
2016-09-06,472.0,16.0,32.5,61.7,30.05,9.78
2016-09-07,489.0,19.4,30.6,66.9,31.55,11.2
2016-09-08,458.5,19.1,27.8,62.2,30.45,16.3
2016-09-09,374.0,15.3,33.6,57.2,27.95,6.38
2016-09-10,402.5,13.3,23.2,53.5,39.4,9.63
2016-09-11,464.0,13.6,23.7,34.0,35.2,7.96
2016-09-12,434.0,13.4,24.9,49.0,34.2,6.86
2016-09-13,430.0,12.9,29.8,24.9,28.85,6.39
2016-09-14,521.0,12.8,,21.7,26.65,2.47
2016-09-15,523.0,14.2,,15.3,22.3,7.05
2016-09-16,512.5,14.2,23.0,21.3,21.75,5.88
2016-09-17,301.0,8.72,,8.99,15.08,6.44
2016-09-18,308.0,8.75,,14.6,12.875,3.69
2016-09-19,346.0,9.99,,12.7,10.885,4.14
2016-09-20,342.0,8.8,27.7,17.7,13.555,8.58
2016-09-21,507.5,12.2,15.6,24.0,24.1,5.94
